ubnd	ủy ban nhân dân
pnvn	phụ nữ việt nam
đkkh	đăng ký kết hôn
plđs	pháp luật đời sống
đspl	đời sống pháp luật
ctv	cộng tác viên
ttgt	thanh tra giao thông
cbnv	cán bộ nhân viên
gpmb	giải phóng mặt bằng
tmcp	thương mại cổ phần
nhtm	ngân hàng thươn mại
bđvn	bóng đá việt nam
csnd	cảnh sát nhân dân
pccc	phòng cháy chữa cháy
vqg	vườn quốc gia
bql	ban quản lý
ptdtbt	phổ thông dân tộc bán trú
hdv	hướng dẫn viên
tsbs	tiến sĩ bác sĩ
ts-bs	tiến sĩ bác sĩ
pgsbs	phó giáo sư bác sĩ
pgs-bs	phó giáo sư bác sĩ
gsbs	giáo sư bác sĩ
gs-bs	giáo sư bác sĩ
nsx	nhà sản xuất
thptqg	trung học phổ thông quốc gia
stt	số thứ tự
cntt&tt	công nghệ thông tin và truyền thông
cntt-tt	công nghệ thông tin truyền thông
mssv	mã số sinh viên
nxb	nhà xuất bản
lđbđvn	liên đoàn bóng đá việt nam
tthlttgq	trung tâm huấn luyện thể thao quốc gia
ndt	nhân dân tệ
qhtd	quan hệ tình dục
blhs	bộ luật hình sự
hđxx	hội đồng xét xử
cqca	cơ quan công an
dbkttv	dự báo khí tượng thủy văn
ttdbkttv	trung tâm dự báo khí tượng thủy văn
ttdbkttvtw	trung tâm dự báo khí tượng thủy văn trung ương
ttdbkttvtư	trung tâm dự báo khí tượng thủy văn trung ương
tw	trung ương
tư	trung ương
kttv	khí tượng thủy văn
ncs	nghiên cứu sinh
đtvt	điện tử viễ thông
ubkt	ủy ban kiểm tra
cpdv	cổ phần dịch vụ
đhđ	đại hội đồng
bvđk	bệnh viện đa khoa
btm	bộ tham mưu
bccb	binh chủng công binh
qđnd	quân đội nhân dân
llvt	lực lượng vũ trang
chqs	chỉ huy quân sự
sscđ	sẵn sàng chiến đấu
tckt	tổng cục kỹ thuật
csb	cảnh sát biển
tchc	tổng cục hậu cần
xnk	xuất nhập khẩu
csvn	cảnh sát việt nam
đbs	đảng cộng sản
tbt	tổng bí thư
ctn	chủ tịch nước
ttbh	trung tâm bảo hành
qlnn	quản lý nhà nước
cntd	chuyển nhượng tự do
đhqghn	đại học quốc gia hà nội
đhqg-hcm	đại học quốc gia hồ chí minh
đhqg	đại học quốc gia
btl	bộ tư lệnh
ktnn	kiểm toán nhà nước
thvn	truyền hình việt nam
đthvn	đài truyền hình việt nam
đptthn	đài phát thanh truyền hình hà nội
ptth	phát thanh truyền hình
shk	sổ hộ khẩu
gplđ	giấy phép lao động
gpxd	giấy phép xây dựng
ubkttw	ủy ban kiểm tra trung ương
ubkttư	ủy ban kiểm tra trung ương
atnđ	áp thấp nhiệt đới
hđh	hệ điều hành
đtnvn	đài tiếng nói việt nam
tnvn	tiếng nói việt nam
qbv	quả bóng vàng
bvbm	bệnh viện bạch mai
qltt	quản lý thị trường
tmđt	thương mại điện tử
xsmb	xổ số miền bắc
kqxs	kết quả xổ số
kqxsmb	kết quả sổ số miền bắc
pttm	phẫu thuật thẩm mỹ
ksnd	kiểm sát nhân dân
vksnd	viện kiểm sát nhân dân
vksndtc	viện kiểm sát nhân dân tối cao
chdcnd	cộng hòa dân chủ nhân dân
chnd	cộng hòa nhân dân
tandtc	tòa án nhân dân tối cao
thtt	truyền hình trực tiếp
bst	bộ sưu tập
ntk	nhà thiết kế
skđa	sân khấu điện ảnh
cqđt	cơ quan điều tra
bcvt	bưu chính viễn thông
hvbctt	học viện báo chí tuyên truyền
gđkt	giám đốc kỹ thuật
gđtt	giám đốc thể thao
htxnn	hợp tác xã nông nghiệp
bvtv	bảo vệ thực vật
qlcl	quản lý chất lượng
gvcn	giáo viên chủ nhiệm
xskt	xổ số kiến thiết
nha	ngoại hạng anh
vđqg	vô địch quốc gia
ktx	ký túc xá
cchc	cải cách hành chính
ubdt	ủy ban dân tộc
đbkk	đặc biệt khó khăn
antq	an ninh tổ quốc
cshs	cảnh sát hình sư
tngt	tai nạn giao thông
thads	thi hành án dân sự
tha	thi hành án
tt&dl	thể thao và du lịch
ntbd	nghệ thuật biểu diễn
nvqs	nghĩa vụ quân sự
đhcđ	đại hội công đoàn
qtđt	quy tắc đô thị
khxh&nv	khoa học xã hội và nhân văn
khxh-nv	khoa học xã hội nhân văn
hssv	học sinh sinh viên
gdct&ct	giáo dục chính trị và công tác
gdct-ct	giáo dục chính trị công tác
gdct	giáo dục chính trị
hđxx	hội đồng xét xử
kđt	khu đô thị
kđtm	khu đô thị mới
bhl	ban huấn luyện
gstskh	giáo sư tiến sĩ khoa học
gs-tskh	giáo sư tiến sĩ khoa học
nsnn	ngân sách nhà nước
